Head,Relation,Tail,Head Class,Tail Class,Title,Article
Estimated Draft Budget ,DRAWN_BY,Union Institutions,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Estimated Draft Budget ,BASED_ON,Union Institution Estimates ,Draft Budget ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 40  Estimated budget of the Union bodies referred to in Article 70 
Estimated Draft Budget ,SEND_TO ,European Commission,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 40  Estimated budget of the Union bodies referred to in Article 70 
Estimated Draft Budget ,SEND_TO ,European Parliament,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 40  Estimated budget of the Union bodies referred to in Article 70 
Estimated Draft Budget ,SEND_TO ,European Council ,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 40  Estimated budget of the Union bodies referred to in Article 70 
Draft Budget ,ESTABLISHED_BY,Proposal,Draft Budget ,Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal,INCLUDES,Draft Budget ,Draft Budget ,Budget,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal ,DRAWN_BY,European Commission,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal ,SEND_TO ,National Parliaments,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal ,SEND_TO ,European Parliament,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal ,SEND_TO ,European Council ,Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Budget Contributions,PAID_TO,European Union,Adopted Draft Budget ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
Member State,PAY,Budget Contributions,European Union ,Adopted Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
Budget Contributions,BASED_ON,Euratom Treaty ,Adopted Draft Budget ,Legal Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
Proposal ,LEADS_TO,Adopted Draft Budget ,Draft Budget ,Adopted Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
Budget Contributions,INCLUDED_IN,Adopted Draft Budget ,Adopted Draft Budget ,Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
Adopted Draft Budget ,SUBCLASS_OF,Draft Budget ,Adopted Draft Budget ,Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
National Parliaments,APPROVE_OF,Budget Contributions,European Union ,Adopted Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Member State,SUBCLASS_OF,European Union ,European Union ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 43  Obligations of Member States as a result of the adoption of the budget 
European Commission,SUBCLASS_OF,European Union ,European Union ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
European Council,SUBCLASS_OF,European Union ,European Union ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
European Parliament ,SUBCLASS_OF,European Union ,European Union ,European Union ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 41  Draft budget ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 42  Letter of amendment to the draft budget,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 43  Obligations of Member States as a result of the adoption of the budget ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 49  Provisions ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 39  Estimates of revenue and expenditure ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 40  Estimated budget of the Union bodies referred to in Article 70 ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 50  Negative reserve ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 47  Budget nomenclature ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 52  Presentation of the budget ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 44  Draft amending budgets ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,"Article 54  Compliance with the multiannual financial framework and Decision 2014/335/EU, Euratom ",Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 48  Negative revenue ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,SUBCLASS_OF,Article 51  Emergency Aid Reserve ,Title,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,
