Head,Relation,Tail,Head_Class,Tail_Class,Title,Articles
High Representative,CONSULTS,European Commission,Person ,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Negative Reserve,COMPRISES_OF ,Payment Appropriations,Aid,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 50  Negative reserve 
Expenditure Estimates,COMPRISED_OF,Operational Appropriations,Estimates ,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Expenditure Estimates,COMPRISED_OF,Administrative Appropriations,Estimates ,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Payment Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Operational Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Administrative Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 47  Budget nomenclature 
Appropriations,EXAMINED_BY,European Commission,Appropriations,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Appropriations,EXAMINED_BY,Union Institutions,Appropriations,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Appropriations,RULED_BY,Basic Act ,Appropriations,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Provision Titles Section,IS_INSTANCE_OF,Sections,Sections,Sections,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Provision Titles Section,COMPRISED_OF,Provisions,Sections,Provisions,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Provisions,COMPRISED_OF,Unauthorized Appropriations,Provisions,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Unauthorized Appropriations,NOT_RULED_BY,Basic Act ,Appropriations,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Provisions,COMPRISED_OF,Inadequate Appropriations,Provisions,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Inadequate Appropriations,NOT_RULED_BY,Sound Financial Management,Appropriations,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Basic Act ,RULED_BY,Article 294 TFUE,Legal_Construct ,Article,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Unauthorized Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Inadequate Appropriations,SUBCLASS_OF,Appropriations,Appropriations,Appropriations,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 49  Provisions 
Introduction,SUBCLASS_OF,Structure ,Sections,Draft_Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Introduction,COMPRISED_OF,General Introduction,Sections,Sections,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
General Introduction,COMPRISED_OF,Changes in Appropriations,Sections,EU_Action,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Changes in Appropriations,IS_INSTANCE_OF,EU_Action ,EU_Action ,EU_Action ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Changes in Appropriations,RULED_BY,Multiannual Financial Framework ,EU_Action,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Introduction,COMPRISED_OF,Union Institution Introduction,Sections,Sections,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Draft Budget ,COMPLIES_TO,Euratom treaty ,Draft_Budget ,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Proposal ,RULED_BY,Estimated Draft Budget,Draft_Budget ,Draft_Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Estimated Draft Budget,INCLUDED_IN,Proposal ,Draft_Budget ,Draft_Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 40  Estimated budget of the Union bodies referred to in Article 70 
Expenditure Estimates,SUBCLASS_OF,Estimates ,Estimates,Estimates,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Revenue Estimates,SUBCLASS_OF,Estimates ,Estimates,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Revenue Estimates,COMPRISED_OF,Net Amounts ,Estimates,Estimates,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Net Amounts ,RULED_BY,Resource Pay Decision,Estimates,EU_Action,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Resource Pay Decision,SUBCLASS_OF,EU_Action,EU_Action,EU_Action,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Resource Pay Decision,CONCERNS,Euratom treaty ,EU_Action,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 48  Negative revenue 
Commission Estimates ,CONCERN,Estimates,Estimates ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
Union Institution Estimates ,CONCERN,Estimates,Estimates ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 39  Estimates of revenue and expenditure 
